time,speed,gradient
1825.08,23.6,-0.155654
1827.52,23.6,-0
1829.91,23.6,1.38625
1832.75,23.6,0
1835.58,23.6,1.52166
1838.97,23.6,0.824524
1842.21,23.6,1.34138
1845.32,23.6,-0
1848.29,23.6,-0.923749
1853.64,23.6,0.0496927
1862.35,23.6,0.0667356
1867.82,23.3,-0
1870.29,23.3,-0.0853839
1874.15,23.3,-0.0704355
1876.71,23.3,-0.143738
1878.42,23.6,-0
1881.15,23.6,0
1883.96,23.6,1.07145
1886.75,23.6,-0
1890.07,23.6,0.793463
1893.58,23.6,1.05431
1898.69,23.6,0.0660414
1906.52,23.6,-0.116475
1909.38,23.6,-0
1912.19,23.3,0.0499614
1914.29,23.6,-0.0620321
1916.29,23.6,-1.42533
1919.2,23.6,0
1922.28,23.6,1.32582
1924.31,23.6,0.839192
1926.44,23.6,0
1928.53,23.6,-1.53598
1930.68,23.6,0
1932.96,23.6,0
1933.91,23.6,0.458506
1936.34,21.9,0.0355839
1939.18,21.9,0.463648
1942.02,21.9,-0
1944.74,21.9,-0
1946.86,21.9,-0.959711
1949.04,21.9,0
1951.05,21.9,-0
1953.35,21.9,-0.947366
1955.03,21.9,-0
1957.62,21.9,0
1959.86,21.9,-0.367174
1962.24,21.9,0
1963.95,21.9,-0
1965.55,21.9,-1.35544
1967.68,21.9,0
1969.48,21.9,-0
1970.99,21.9,-1.21531
1974.17,21.9,-0.216654
1978.48,21.9,0
1980.11,21.9,-0
1981.44,21.9,-0
1983.17,21.9,-0.422387
1984.53,21.9,-0
1985.9,21.9,0
1987.43,21.9,1.37219
1988.89,21.9,1.51966
1990.3,21.9,-0
1991.69,21.9,-0
1993.06,21.4,-0
1994.01,21.4,-0
1995.21,21.4,-0.929432
1996.46,21.4,0
1997.63,21.4,-1.4146
1999.07,20.6,0
2000.35,20.6,-0
2001.56,20.6,-0
2002.59,20.6,-0
2003.42,20.6,-0
2004.31,20.6,0
2005.18,20.6,-1.54019
2006.02,20.6,1.55351
2006.83,20.6,-0
2007.94,20.6,0
2008.89,20.6,-0
2009.85,20.6,0
2010.88,20.6,0
2011.89,20.6,-1.26492
2012.93,20.6,0
2013.81,20.6,-0
2014.69,20.6,0
2015.67,20.6,0
2016.68,20.6,0
2017.77,20.6,1.39904
2018.86,20.6,0
2021.31,20.6,0
2022.66,20.6,-0
2023.84,20.6,-1.29663
2025.09,20.6,0
2026.31,20.6,-0
2026.97,20.6,-0
2027.62,20.6,-0
2028.24,20.6,-0
2028.86,20.6,0
2029.74,20.6,0
2030.68,20.6,0.945312
2032.44,20.6,0
2033.63,20.6,-0
2034.85,20.6,-1.54736
2036.01,20.6,-1.53272
2037.15,20.6,-0
2038.55,20.6,0
2040.21,20.6,0
2041.37,20.6,-0
2042.51,20.6,1.5558
2044.26,20.6,0
2045.37,20.6,-0
2047.48,20.6,0
2048.55,20.6,0.243873
2050.2,20.6,1.37499
2052.63,20.6,0
2054.88,20.6,1.33171
2057.56,19.2,0
2058.75,20,-0
2059.59,20,-0
2060.4,20,-0
2061.41,20,0.484478
2062.4,20,-0
2063.22,20,-0
2064.01,20,-0
2064.76,20,-0
2065.48,20,-0
2066.45,20,0
2067.42,20,1.54736
2068.45,20,0
2069.43,20,-0
2070.53,20,0
2071.49,20,-0
2073.45,20,0.523422
2075.73,20,0
2077.39,20.6,0.842806
2079.12,20.6,0
2080.89,20.6,0
2082.43,20.6,0.0637472
2085.1,20.6,0
2087.25,20.6,-0
2089.11,20.6,-0
2090.74,20.6,1.1874
2092.03,20.6,-0
2093.49,20.6,0
2094.95,20.3,-0
2096.2,20.3,-0.0996671
2097.41,20.3,-0
2101.89,20.3,0.0752723
2103.79,20.3,-0
2105.92,21.4,0
2107.68,21.4,-0
2109.42,21.4,-1.48148
2110.91,21.4,-0
2112.27,21.4,-0
2113.79,21.4,0
2115.24,21.4,1.16265
2116.7,21.4,0
2118.33,21.4,-0.887603
2120.16,21.4,0
2124.71,21.4,0
2125.94,21.4,-0
2127.26,21.4,1.54311
2128.71,21.4,0
2130.73,21.4,0
2132.31,21.4,1.40732
2134.18,21.4,0
2135.71,21.4,-1.01142
2137.77,21.4,0
2142.48,21.4,0
2144.42,21.4,-0.154945
2146.02,21.4,-0
2147.35,21.4,-0.972012
2149.1,21.4,0
2152.37,21.4,0
2154.63,21.4,-0.343907
2156.31,21.4,-0
2157.99,21.4,-0
2159.85,21.4,0
2161.52,21.4,-1.36761
2163.43,21.4,1.51059
2168.08,21.4,-0.40303
2177.87,21.9,0.327444
2185.15,21.9,-0.980841
2192.44,21.9,1.56633
2199.01,21.9,1.12868
2204.77,21.9,-1.07167
2209.72,21.9,1.32938
2214.09,21.9,1.3752
2218.66,21.9,0
2223.61,21.9,-1.31499
2227.51,21.9,1.22177
2232.23,21.9,0
2237.59,21.9,-1.23806
2240.96,21.9,-0
2244.73,21.9,0.940539
2247.95,23.1,1.36971
2251.27,23.1,1.26557
2254.69,23.1,0
2257.72,23.1,1.1568
2259.62,23.1,-0
2261.51,23.1,0
2263.34,23.1,-0
2265.4,23.9,1.16089
2267.24,23.9,-0
2269.58,23.9,-0.911086
2272.23,23.9,1.44854
2275.06,23.9,-1.4007
2277.52,23.9,-0
2279.74,23.9,1.30036
2282.02,24.2,0
2287.5,23.9,0.0330567
2289.15,23.9,-0
2290.91,23.9,0
2292.7,23.6,1.56445
2294.59,23.6,0
2296.63,23.6,0
2298.61,23.6,1.54015
2300.82,23.6,-1.13666
2303.16,23.6,0
2305.42,24.2,1.48459
2307.49,24.2,-1.45646
2309.52,24.2,-0
2311.26,24.2,-0
2312.92,24.2,-0
2314.62,24.2,-1.52915
2317.25,24.2,0
2318.33,24.2,-0.641779
2321.82,24.2,0
2323.76,23.9,-0
2325.59,23.9,1.51425
2327.5,23.9,1.3932
2329.07,23.9,-0
2330.53,23.9,-0
2331.98,23.9,-0
2333.78,23.9,-0.256153
2335.49,23.9,1.3874
2342.58,24.2,0.0238417
2343.76,24.2,-0
2344.92,24.2,-0
2345.87,24.2,-0
2346.82,24.2,0
2347.64,24.2,-0
2348.52,24.2,0
2349.17,24.2,-1.06551
2349.96,24.2,0
2350.82,24.2,0
2351.75,24.2,0
2352.5,24.2,-0
2353.4,24.2,-1.48971
2355,24.2,0
2356.1,24.2,-0
2357.21,24.2,-1.45592
2358.47,24.7,0
2360.67,24.7,0
2361.31,24.7,-0
2363.49,24.2,-0.0687619
2365.13,24.2,-1.17719
2367.36,24.2,-0.483036
2369.94,24.2,0
2371.73,24.2,-0
2373.5,24.2,-0
2374.14,24.2,-0.0546899
2376.14,22.8,0
2378.38,22.8,0
2380.71,22.8,1.44139
2382.32,22.8,-0
2383.99,22.8,-1.52359
2387.95,22.8,0
2390.67,22.8,-0.898794
2393.5,21.7,-0
2396.53,21.7,0
2398.63,21.7,0.558599
2400.79,21.7,1.52182
2407.03,21.4,-0.198507
2412.31,21.9,0.623431
2416.77,21.9,-0
2421.6,21.9,1.25503
2424.84,22.5,-0
2427.08,23.1,-0
2428.5,23.1,-0
2429.57,23.1,-0.958259
2430.66,23.1,0
2431.73,23.1,-0
2432.61,23.1,-0
2433.49,23.1,-0
2434.93,23.1,-0.601963
2436.06,23.1,-0
2436.94,23.1,-0
2437.85,23.1,0
2439.17,23.1,0.110655
2440.11,23.9,0.863019
2441.08,23.9,0
2442.5,23.9,0
2442.95,23.9,-0
2444.09,23.9,0
2446.32,23.9,0.0381494
2447.53,23.9,0.491016
2449.2,23.9,0
2450.06,23.9,-0
2451.65,23.9,0
2453.28,24.2,-1.40383
2455.68,24.4,0
2462.56,24.4,-0.040998
2466.38,24.4,0.169889
2467.98,24.4,-0
2469.23,24.2,-0
2470.73,24.2,0
2472.5,24.2,-1.12749
2474.01,24.2,-0
2475.72,24.2,0
2477.1,24.2,-0
2478.43,24.2,-1.50467
2479.93,24.2,0
2482.09,24.2,0
2483.26,24.2,-0
2484.35,24.2,-1.43299
2485.93,23.9,0
2487.54,23.9,0
